fold_index,test_subject_ids,model_name,threshold_used,n_train_samples,n_test_samples,train_non_stress,train_stress,test_non_stress,test_stress,train_class_distribution,test_class_distribution,balanced_accuracy,precision,recall,f1,accuracy,pr_auc,roc_auc,brier,tn,fp,fn,tp
1,S10;S16;S6,random_forest,0.24,1198,301,934,264,233,68,non_stress=934;stress=264,non_stress=233;stress=68,0.7343158293360262,0.5,0.6617647058823529,0.569620253164557,0.7740863787375415,0.7222444801977148,0.8478288311032568,0.11623035235107979,188,45,23,45
2,S14;S17;S2,random_forest,0.24,1201,298,936,265,231,67,non_stress=936;stress=265,non_stress=231;stress=67,0.8271628868643794,0.9183673469387755,0.6716417910447762,0.7758620689655172,0.912751677852349,0.833559345475945,0.91425986948375,0.06994569851127656,227,4,22,45
3,S13;S5;S9,random_forest,0.24,1199,300,931,268,236,64,non_stress=931;stress=268,non_stress=236;stress=64,0.7268273305084746,0.6140350877192983,0.546875,0.5785123966942148,0.83,0.6522234188716145,0.8307402012711864,0.11109597762990814,214,22,29,35
4,S11;S4;S7,random_forest,0.24,1199,300,932,267,235,65,non_stress=932;stress=267,non_stress=235;stress=65,0.7076923076923077,1.0,0.4153846153846154,0.5869565217391305,0.8733333333333333,0.6847005743814203,0.810671031096563,0.10822900727785133,235,0,38,27
5,S15;S3;S8,random_forest,0.24,1199,300,935,264,232,68,non_stress=935;stress=264,non_stress=232;stress=68,0.728448275862069,0.7727272727272727,0.5,0.6071428571428571,0.8533333333333334,0.6260212016677061,0.7942444219066936,0.12940569920518655,222,10,34,34
1,S10;S16;S6,xgboost,0.22999999999999998,1198,301,934,264,233,68,non_stress=934;stress=264,non_stress=233;stress=68,0.7566586720525119,0.4608695652173913,0.7794117647058824,0.5792349726775956,0.7441860465116279,0.7432533058284465,0.8649962130775057,0.10129543115998912,171,62,15,53
2,S14;S17;S2,xgboost,0.22999999999999998,1201,298,936,265,231,67,non_stress=936;stress=265,non_stress=231;stress=67,0.8481294824578407,0.7727272727272727,0.7611940298507462,0.7669172932330827,0.8959731543624161,0.8460860621916035,0.9284745105640628,0.07029899915473256,216,15,16,51
3,S13;S5;S9,xgboost,0.22999999999999998,1199,300,931,268,236,64,non_stress=931;stress=268,non_stress=236;stress=64,0.7457627118644068,0.44036697247706424,0.75,0.5549132947976878,0.7433333333333333,0.6203061341314832,0.8373940677966103,0.10884378235266773,175,61,16,48
4,S11;S4;S7,xgboost,0.22999999999999998,1199,300,932,267,235,65,non_stress=932;stress=267,non_stress=235;stress=65,0.7299509001636661,0.8857142857142857,0.47692307692307695,0.62,0.8733333333333333,0.6502381853004451,0.7785270049099836,0.10988671639314686,231,4,34,31
5,S15;S3;S8,xgboost,0.22999999999999998,1199,300,935,264,232,68,non_stress=935;stress=264,non_stress=232;stress=68,0.7055020283975659,0.41964285714285715,0.6911764705882353,0.5222222222222223,0.7133333333333334,0.5523988946736136,0.7869548681541583,0.13403721199945684,167,65,21,47
1,S10;S16;S6,lightgbm,0.3,1198,301,934,264,233,68,non_stress=934;stress=264,non_stress=233;stress=68,0.7493372885634941,0.5421686746987951,0.6617647058823529,0.5960264900662252,0.7973421926910299,0.7287135707839761,0.8373516788689724,0.11116450430883681,195,38,23,45
2,S14;S17;S2,lightgbm,0.3,1201,298,936,265,231,67,non_stress=936;stress=265,non_stress=231;stress=67,0.8165665180590553,0.9555555555555556,0.6417910447761194,0.7678571428571429,0.912751677852349,0.8502564335815611,0.9145183175033921,0.07238805385997614,229,2,24,43
3,S13;S5;S9,lightgbm,0.3,1199,300,931,268,236,64,non_stress=931;stress=268,non_stress=236;stress=64,0.7167637711864407,0.7209302325581395,0.484375,0.5794392523364486,0.85,0.6678506259634611,0.843849311440678,0.10717366747576682,224,12,33,31
4,S11;S4;S7,lightgbm,0.3,1199,300,932,267,235,65,non_stress=932;stress=267,non_stress=235;stress=65,0.6978723404255319,0.9629629629629629,0.4,0.5652173913043478,0.8666666666666667,0.6163331174149179,0.7566939443535189,0.11413246685416671,234,1,39,26
5,S15;S3;S8,lightgbm,0.3,1199,300,935,264,232,68,non_stress=935;stress=264,non_stress=232;stress=68,0.6656947261663286,0.8275862068965517,0.35294117647058826,0.4948453608247423,0.8366666666666667,0.6133733468170984,0.811168864097363,0.1294573595865004,227,5,44,24
