subject_id,model_name,threshold_used,n_windows,n_stress,n_non_stress,predicted_stress_count,mean_predicted_stress_probability,balanced_accuracy,precision,recall,f1,accuracy,pr_auc,roc_auc,brier,tn,fp,fn,tp
S10,random_forest,0.24,103,24,79,59,0.4132882996791236,0.7513185654008439,0.3898305084745763,0.9583333333333334,0.5542168674698795,0.6407766990291263,0.7613648437332649,0.9058544303797468,0.14435769314307753,43,36,1,23
S11,random_forest,0.24,102,23,79,23,0.30133153227765713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014382983914645507,79,0,0,23
S13,random_forest,0.24,102,22,80,39,0.34411958194775394,0.8647727272727272,0.5384615384615384,0.9545454545454546,0.6885245901639344,0.8137254901960784,0.9565800865800866,0.9835227272727273,0.06332950095997078,62,18,1,21
S14,random_forest,0.24,102,22,80,24,0.2941761599839228,0.9875,0.9166666666666666,1.0,0.9565217391304348,0.9803921568627451,1.0,1.0,0.013575402734464443,78,2,0,22
S15,random_forest,0.24,101,23,78,16,0.2310288177117097,0.6789297658862876,0.625,0.43478260869565216,0.5128205128205128,0.8118811881188119,0.4955219900872075,0.7675585284280937,0.1525812817577926,72,6,13,10
S16,random_forest,0.24,99,22,77,31,0.3319712463780105,0.9415584415584415,0.7096774193548387,1.0,0.8301886792452831,0.9090909090909091,1.0,1.0,0.033022360429247145,68,9,0,22
S17,random_forest,0.24,100,24,76,25,0.282845588682346,0.9660087719298246,0.92,0.9583333333333334,0.9387755102040817,0.97,0.977982456140351,0.9931469298245614,0.03828244362906905,74,2,1,23
S2,random_forest,0.24,96,21,75,0,0.09569273840357678,0.5,0.0,0.0,0.0,0.78125,0.5844041320231796,0.8196825396825397,0.1628216949431056,75,0,21,0
S3,random_forest,0.24,99,22,77,12,0.25313976863275506,0.6558441558441559,0.6666666666666666,0.36363636363636365,0.47058823529411764,0.8181818181818182,0.4746349355437227,0.45454545454545453,0.15475383876480756,73,4,14,8
S4,random_forest,0.24,99,21,78,2,0.13937420098528708,0.5476190476190477,1.0,0.09523809523809523,0.17391304347826086,0.8080808080808081,0.5094789450818984,0.5885225885225885,0.16517370464612363,78,0,19,2
S5,random_forest,0.24,99,21,78,13,0.1415020994616791,0.8095238095238095,1.0,0.6190476190476191,0.7647058823529411,0.9191919191919192,0.9792960662525879,0.996947496947497,0.10153712336499973,78,0,8,13
S6,random_forest,0.24,99,22,77,0,0.08085464372568556,0.5,0.0,0.0,0.0,0.7777777777777778,0.4960671306365086,0.8113931523022433,0.1701745452670966,77,0,22,0
S7,random_forest,0.24,99,21,78,2,0.09377978903374488,0.5476190476190477,1.0,0.09523809523809523,0.17391304347826086,0.8080808080808081,0.6245099334831065,0.8501221001221,0.14797415216257892,78,0,19,2
S8,random_forest,0.24,100,23,77,16,0.1475449228999097,0.8478260869565217,1.0,0.6956521739130435,0.8205128205128205,0.93,1.0,1.0,0.08090370266302971,77,0,7,16
S9,random_forest,0.24,99,21,78,5,0.15159904501361166,0.4981684981684982,0.2,0.047619047619047616,0.07692307692307693,0.7575757575757576,0.25752239360486784,0.5879120879120879,0.16986877755475197,74,4,20,1
S10,xgboost,0.22999999999999998,103,24,79,66,0.37580665031688576,0.7341772151898734,0.36363636363636365,1.0,0.5333333333333333,0.5922330097087378,0.7807317636243158,0.9008438818565401,0.11773314722818079,37,42,0,24
S11,xgboost,0.22999999999999998,102,23,79,26,0.2999788055913527,0.9810126582278481,0.8846153846153846,1.0,0.9387755102040817,0.9705882352941176,1.0,1.0,0.010821654650793868,76,3,0,23
S13,xgboost,0.22999999999999998,102,22,80,65,0.35891795078429245,0.73125,0.3384615384615385,1.0,0.5057471264367817,0.5784313725490197,0.9355311355311355,0.9732954545454545,0.06174887285538986,37,43,0,22
S14,xgboost,0.22999999999999998,102,22,80,28,0.296501847141586,0.9625,0.7857142857142857,1.0,0.88,0.9411764705882353,1.0,1.0,0.014134103291628826,74,6,0,22
S15,xgboost,0.22999999999999998,101,23,78,50,0.24130279230325588,0.6580267558528428,0.34,0.7391304347826086,0.4657534246575342,0.6138613861386139,0.42135477715687614,0.7224080267558528,0.15607171039808795,45,33,6,17
S16,xgboost,0.22999999999999998,99,22,77,41,0.33812376038284886,0.8766233766233766,0.5365853658536586,1.0,0.6984126984126984,0.8080808080808081,1.0,1.0,0.030523329297397563,58,19,0,22
S17,xgboost,0.22999999999999998,100,24,76,31,0.2631719016908173,0.9265350877192983,0.7419354838709677,0.9583333333333334,0.8363636363636363,0.91,0.9409636062861868,0.9849232456140351,0.04905049260727906,68,8,1,23
S2,xgboost,0.22999999999999998,96,21,75,7,0.10624389556218565,0.6361904761904762,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.8333333333333334,0.6788955282487527,0.8431746031746031,0.152108061996211,74,1,15,6
S3,xgboost,0.22999999999999998,99,22,77,42,0.2422619016306419,0.5194805194805194,0.23809523809523808,0.45454545454545453,0.3125,0.5555555555555556,0.3964153210205903,0.5236127508854781,0.16318569548387343,45,32,12,10
S4,xgboost,0.22999999999999998,99,21,78,5,0.14137927137485615,0.5888278388278388,0.8,0.19047619047619047,0.3076923076923077,0.8181818181818182,0.3306358324155066,0.49542124542124544,0.17196958267541518,77,1,17,4
S5,xgboost,0.22999999999999998,99,21,78,22,0.13037329751368748,0.9633699633699633,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9696969696969697,0.9231168831168831,0.988095238095238,0.10483893344663937,76,2,1,20
S6,xgboost,0.22999999999999998,99,22,77,8,0.09091307700354642,0.6525974025974026,0.875,0.3181818181818182,0.4666666666666667,0.8383838383838383,0.6562479187479187,0.8654073199527744,0.15496566681021967,76,1,15,7
S7,xgboost,0.22999999999999998,99,21,78,4,0.09075060402998428,0.5952380952380952,1.0,0.19047619047619047,0.32,0.8282828282828283,0.6345261440054162,0.7857142857142858,0.14987088342118163,78,0,17,4
S8,xgboost,0.22999999999999998,100,23,77,20,0.15821220795561233,0.9347826086956521,1.0,0.8695652173913043,0.9302325581395349,0.97,0.9895652173913043,0.9983060417843026,0.08292536996726704,77,0,3,20
S9,xgboost,0.22999999999999998,99,21,78,22,0.16955011329030906,0.5402930402930403,0.2727272727272727,0.2857142857142857,0.27906976744186046,0.6868686868686869,0.27837419293042454,0.6260683760683761,0.16137065922558846,62,16,15,6
S10,lightgbm,0.3,103,24,79,51,0.39715326152746255,0.801951476793249,0.45098039215686275,0.9583333333333334,0.6133333333333333,0.7184466019417476,0.8115863293872869,0.9253691983122364,0.11956334684339454,51,28,1,23
S11,lightgbm,0.3,102,23,79,24,0.3062878546319375,0.9936708860759493,0.9583333333333334,1.0,0.9787234042553191,0.9901960784313726,1.0,1.0,0.011405777992840848,78,1,0,23
S13,lightgbm,0.3,102,22,80,30,0.3478969537102101,0.8920454545454546,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.8823529411764706,0.9388763410502541,0.9730113636363636,0.05754604981161306,70,10,2,20
S14,lightgbm,0.3,102,22,80,24,0.29439724979640586,0.9875,0.9166666666666666,1.0,0.9565217391304348,0.9803921568627451,1.0,1.0,0.013768672324154426,78,2,0,22
S15,lightgbm,0.3,101,23,78,11,0.21968142344541075,0.6828316610925307,0.8181818181818182,0.391304347826087,0.5294117647058824,0.8415841584158416,0.5853590054607263,0.7873467112597548,0.14548769130159506,76,2,14,9
S16,lightgbm,0.3,99,22,77,32,0.33940582950486253,0.935064935064935,0.6875,1.0,0.8148148148148148,0.898989898989899,0.9775848712690818,0.995572609208973,0.04686731293673347,67,10,0,22
S17,lightgbm,0.3,100,24,76,21,0.2578808269907595,0.9375,1.0,0.875,0.9333333333333333,0.97,0.9709876543209877,0.9893092105263158,0.048860457979779746,76,0,3,21
S2,lightgbm,0.3,96,21,75,0,0.10782933658254829,0.5,0.0,0.0,0.0,0.78125,0.5887948958815794,0.7812698412698413,0.1591790591169913,75,0,21,0
S3,lightgbm,0.3,99,22,77,8,0.21021881362058026,0.5941558441558441,0.625,0.22727272727272727,0.3333333333333333,0.797979797979798,0.41630007014121007,0.5696576151121605,0.15467361206676908,74,3,17,5
S4,lightgbm,0.3,99,21,78,1,0.1549283498066181,0.5238095238095238,1.0,0.047619047619047616,0.09090909090909091,0.797979797979798,0.2335380939841787,0.4481074481074481,0.1774814539224594,78,0,20,1
S5,lightgbm,0.3,99,21,78,10,0.1556456063784942,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.8888888888888888,0.9374499374499374,0.9841269841269842,0.0981600849960326,78,0,11,10
S6,lightgbm,0.3,99,22,77,0,0.09118920494973061,0.5,0.0,0.0,0.0,0.7777777777777778,0.5902589912284806,0.7727272727272727,0.16672350597326896,77,0,22,0
S7,lightgbm,0.3,99,21,78,2,0.1048392396733648,0.5476190476190477,1.0,0.09523809523809523,0.17391304347826086,0.8080808080808081,0.48823631446608623,0.731074481074481,0.1566230986126946,78,0,19,2
S8,lightgbm,0.3,100,23,77,10,0.155866192145374,0.717391304347826,1.0,0.43478260869565216,0.6060606060606061,0.87,0.9663930272625925,0.9929418407679277,0.08830263459878882,77,0,13,10
S9,lightgbm,0.3,99,21,78,3,0.16017398777356584,0.510989010989011,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.7777777777777778,0.26484908409756225,0.6156898656898656,0.1673187348215988,76,2,20,1
